id,category,title,period,tech,link,content,title_zh,period_zh,tech_zh,content_zh
proj-japanese-verb,Selected Project,Japanese Word Master — LangGraph Agent + Local RAG,May 2026 - Present,LangGraph + Node.js + PostgreSQL + sqlite-vec,https://japanese-verb-master.onrender.com,"Independent LangGraph-based Japanese-learning agent with hybrid retrieval. Combined vector and BM25 retrieval through RRF fusion, query rewriting, and LLM reranking; achieved MRR 0.977, NDCG@10 0.979, and recall@1 63/65. Built recall@k / MRR / NDCG / faithfulness / hallucination regression evaluation suites; a distance filter plus LLM gatekeeper reduced off-topic hallucination from 10.7% to 0%. Implemented a LangGraph Planner-Researcher-Tutor-Memory-Manager StateGraph with SSE traces, persisted run/task history, durable user memory, and sandbox policies for tools, tokens, and timeouts. Deployed a same-origin Vue + Express service on Render with Supabase PostgreSQL, isolated guest/account data, Cloudflare Turnstile and rate limits, browser-side LLM BYOK, server-verified OKX payments, and 112 passing backend tests.",KotobaFlow — LangGraph 智能体 + 本地 RAG,2026.05 - 至今,LangGraph + Node.js + PostgreSQL + sqlite-vec,基于 LangGraph 的独立日语学习智能体，具备混合检索能力。通过 RRF 融合向量与 BM25 检索，并加入查询改写和 LLM 重排，达到 MRR 0.977、NDCG@10 0.979 与 recall@1 63/65。构建 recall@k / MRR / NDCG / faithfulness / hallucination 回归评测集；用距离过滤加 LLM gatekeeper 将离题幻觉率从 10.7% 降至 0%。实现 LangGraph Planner → Researcher → Tutor → Memory Manager StateGraph，支持 SSE 轨迹、运行与任务历史持久化、长期用户记忆，以及工具、Token 和超时沙箱策略。在 Render 部署同源 Vue + Express 服务，使用 Supabase PostgreSQL 隔离游客与账号数据，接入 Cloudflare Turnstile 与限流、浏览器侧 LLM BYOK、服务端验证的 OKX 支付，后端通过 112 项测试。
proj-feishu-companion,Selected Project,Feishu Companion Bot — Memory-Centric LLM Assistant,Jun 2026 - Present,Go + React + OceanBase / MySQL + Feishu Open Platform,https://github.com/yuaiccc/feishu-companion-bot,"Go-based Feishu companion-agent framework with LLM responses, short/long-term memory, profile configuration, safety filters, image-memory extraction, and local tool adapters. Dual-store memory layer with unstructured memories and open predicate knowledge relations (GraphRAG), including multi-turn pronoun resolution, relationship conflict handling, and multimodal image-memory extraction. Backed by OceanBase / MySQL-compatible storage. Embedded a React + Vite SPA into a single Go binary as an operational console for feature toggles, onboarding, database health, connection-pool status, and mood / affinity trend monitoring.",飞书叶 — 以记忆为核心的 LLM 智能助手,2026.06 - 至今,Go + React + OceanBase / MySQL + 飞书开放平台,基于 Go 的飞书伴随型智能体框架，具备 LLM 回复、长短期记忆、人物档案、安全过滤、图片记忆抽取和本地工具适配等能力。双存储记忆层：非结构化记忆 + 开放式谓词知识关系（GraphRAG），支持多轮指代消解、关系冲突处理与多模态图片记忆抽取；由 OceanBase / MySQL 兼容存储承载。将 React + Vite SPA 内嵌进单一 Go 二进制，作为运维控制台管理功能开关、上手引导、数据库健康、连接池状态与心情/好感度趋势监控。
proj-scene-text,Selected Project,Multilingual Scene Text Recognition System,Dec 2025 - Present,Python + PyTorch + Linux,,"End-to-end owner of a multilingual scene-text recognition pipeline. Cleaned and assembled a corpus of 1.13 million lines, fixed rendering bugs in open-source tooling, and generated more than 100,000 high-quality synthetic training samples. Converted large collections of small images into an LMDB dataset, pushed batch size to 768, and reduced validation time from hours to minutes. Reached 98.3% validation accuracy and solved recognition issues involving overlapping Traditional Chinese and Japanese characters.",多语种场景文字识别系统,2025.12 - 至今,Python + PyTorch + Linux,独立负责的多语种场景文字识别端到端项目。清洗并整理 113 万行语料库，修复开源工具的渲染 bug，生成 10 万余条高质量合成训练样本。将大规模小图转换为 LMDB 数据集，将 batch size 提升至 768，把验证时间从数小时压缩到数分钟。验证准确率达到 98.3%，解决了繁体中文与日文字符重叠的识别难题。
oss-arklab,Open Source,yuaiccc/ArkLab,,Python,https://arklab.onrender.com,"CLI-first local RAG evaluation and diagnosis workbench. Turns benchmark runs into reproducible engineering evidence: retrieval metrics, LLM-as-Judge hooks, trace files, failure pools, experiment summaries, and regression eval sets. Runs public benchmarks such as MultiHop-RAG and EnterpriseRAG-Bench, and evaluates real application targets like japanese-verb-master through API adapters.",yuaiccc/ArkLab,,Python,ArkLab 是一个 CLI 优先的本地 RAG 评测与诊断工作台，将 benchmark 运行转化为可复现的工程证据，包括检索指标、LLM-as-Judge 接口、轨迹文件、失败样本池、实验摘要和回归评测集。既能运行 MultiHop-RAG、EnterpriseRAG-Bench 等公开基准，也能通过 API 适配器评测 japanese-verb-master 等真实应用。
oss-japanese-verb,Open Source,yuaiccc/japanese-verb-master,,TypeScript,https://github.com/yuaiccc/japanese-verb-master,"Production-deployed Japanese-learning Agentic RAG system, v1.3.0 live on Render. LangGraph workflow (Planner → Researcher → Tutor → Memory Manager) combines vector and BM25 retrieval with RRF fusion and LLM reranking (MRR 0.977, recall@1 63/65). Dual abstain gate reduces off-topic hallucination to 0%. Supabase PostgreSQL for isolated guest/account data, Cloudflare Turnstile and rate limiting, browser-side LLM BYOK, and server-verified OKX payments. Backend covered by 112 tests.",yuaiccc/japanese-verb-master,,TypeScript,生产环境部署的日语学习 Agentic RAG 系统，v1.3.0 已上线 Render。LangGraph 工作流（Planner → Researcher → Tutor → Memory Manager）通过 RRF 融合与 LLM 重排组合向量与 BM25 检索（MRR 0.977、recall@1 63/65）。双重弃答闸门将离题幻觉率降至 0%。使用 Supabase PostgreSQL 隔离游客与账号数据、Cloudflare Turnstile 与限流、浏览器侧 LLM BYOK，以及服务端验证的 OKX 支付。后端由 112 项测试覆盖。
oss-feishu-companion,Open Source,yuaiccc/feishu-companion-bot,,Go,https://github.com/yuaiccc/feishu-companion-bot,"Go-based Feishu companion-agent framework with LLM responses, memory, safety filters, image-memory extraction, and a GraphRAG relation layer backed by OceanBase / MySQL-compatible storage. Ships a Vite + React control console embedded into the Go binary for onboarding, module toggles, database health checks, and mood / affinity trend monitoring.",yuaiccc/feishu-companion-bot,,Go,基于 Go 的飞书伴随型智能体框架，具备 LLM 回复、记忆、安全过滤、图片记忆抽取和由 OceanBase / MySQL 兼容存储承载的 GraphRAG 关系层。将 Vite + React 控制台内嵌进 Go 二进制，用于上手引导、模块开关、数据库健康检查和心情/好感度趋势监控。
oss-sillytavern,Open Source,SillyTavern/SillyTavern,,JavaScript,https://github.com/SillyTavern/SillyTavern,"Feature-rich local LLM frontend for advanced users, with multi-model API support, character cards, and an extensible plugin ecosystem. Contributed 21 merged pull requests focused on product polish and core experience improvements.",SillyTavern/SillyTavern,,JavaScript,SillyTavern 是面向高级用户的本地 LLM 前端，支持多模型 API、角色卡与可扩展插件生态。我已贡献 21 个合并 PR，主要聚焦产品细节和核心体验改进。
exp-hualan,Experience,Java Backend Intern — Henan Hualan Information Technology Group,Sep 2024 - Feb 2025,Java + Spring + MySQL + Linux + Postman + Swagger,,Joined RESTful API development and integration for an enterprise system. Ran automated interface testing and parameter validation with Postman and maintained Swagger API docs. Troubleshot backend errors through Linux server logs and wrote SQL to verify data consistency and clean up dirty data.,Java 后端实习生 — 河南华兰信息科技集团,2024.09 - 2025.02,Java + Spring + MySQL + Linux + Postman + Swagger,参与企业系统的 RESTful API 开发与接入。使用 Postman 完成接口自动化测试与参数校验，并维护 Swagger API 文档。通过 Linux 服务器日志排查后端故障，编写 SQL 校验数据一致性并清理脏数据。
exp-huashui,Experience,"Officer — Youth League Committee, Huashui Youth Office",Sep 2023 - Jun 2024,Python + Excel,,Consolidated class-attendance data across 22 schools. Automated cleaning with Python and analysis in Excel to produce a core data dashboard.,华水青工部干事 — 团委青年工作办公室,2023.09 - 2024.06,Python + Excel,汇总 22 所学校的班级考勤数据。使用 Python 自动化清洗、Excel 完成分析，产出核心数据看板。
edu-hdu,Education,Hangzhou Dianzi University (HDU) — Postgraduate incoming,Sep 2026 - (expected),,,"Incoming postgraduate at Hangzhou Dianzi University (HDU), Fall 2026 start.",杭州电子科技大学（HDU）— 拟入学硕士研究生,2026.09 -（预计）,,杭州电子科技大学（HDU）拟入学硕士研究生，2026 秋季入学。
edu-ncwu,Education,North China University of Water Resources and Electric Power (NCWU) — B.Eng. Artificial Intelligence,Sep 2022 - Jun 2026,,,"B.Eng. in Artificial Intelligence with GPA 3.16. Awarded Academic Excellence Scholarship. Core coursework covered Operating Systems, Data Structures, Linear Algebra, Natural Language Processing, Computer Networks, and Software Engineering.",华北水利水电大学（NCWU）— 人工智能工学学士,2022.09 - 2026.06,,人工智能工学学士，GPA 3.16，获学业优秀奖学金。核心课程涵盖操作系统、数据结构、线性代数、自然语言处理、深度学习、计算机网络与软件工程。
cap-llm-agents,Capability,LLM & Agent Systems,,LangGraph + RAG,,"Builds agentic applications with LangGraph orchestration and local RAG featuring hybrid retrieval, reranking, and RAGAS-style evaluation. Studied the source code of OpenClaw, DeerFlow, Claude Code, and Hermes to understand multi-agent orchestration, task scheduling, and context-management trade-offs.",LLM 与智能体系统,,LangGraph + RAG,使用 LangGraph 编排与本地 RAG（混合检索、重排、RAGAS 风格评测）构建 Agentic 应用。研读过 OpenClaw、DeerFlow、Claude Code、Hermes 源码，理解多智能体编排、任务调度与上下文管理的工程取舍。
cap-java-backend,Capability,Java Backend Foundations,,Spring + MyBatis + JUC + JVM,,"Builds production APIs with Spring Boot and MyBatis following MVC and RESTful conventions. Applies HashMap internals, JUC concurrency utilities, and JVM knowledge to diagnose concurrency and performance issues.",Java 后端基础,,Spring + MyBatis + JUC + JVM,以 Spring Boot 与 MyBatis 构建生产级 API，遵循 MVC 与 RESTful 约定。运用 HashMap 内部实现、JUC 并发工具类与 JVM 知识排查并发和性能问题。
cap-data-middleware,Capability,Data and Middleware,,MySQL + Redis + RabbitMQ,,Optimizes MySQL queries with index tuning and transaction design. Implements Redis caching for hot-path data. Integrates RabbitMQ for asynchronous task decoupling.,数据与中间件,,MySQL + Redis + RabbitMQ,通过索引优化和事务设计调优 MySQL 查询；使用 Redis 缓存热点路径数据；接入 RabbitMQ 完成异步任务解耦。
cap-devops,Capability,DevOps and Delivery,,Git + Linux + Docker + Nginx + Vercel + GitHub Actions,,Ships projects through Vercel CI/CD and GitHub pipelines. Manages Linux servers and configures Nginx for reverse proxy and static hosting. Uses AI-native tools such as Claude Code and Codex to speed up delivery.,DevOps 与交付,,Git + Linux + Docker + Nginx + Vercel + GitHub Actions,通过 Vercel CI/CD 和 GitHub Actions 交付项目；管理 Linux 服务器、配置 Nginx 做反向代理与静态托管；使用 Claude Code、Codex 等 AI 原生工具加速交付。
lang-en,Language,English — CET-6,,,,CET-6. Comfortable using English in day-to-day collaboration and technical discussions.,英语 — CET-6,,,英语六级。可用于日常协作和技术讨论。
lang-ja,Language,Japanese — JLPT N3,,,,JLPT N3. Able to read basic technical materials and adapt to Japan-facing development contexts.,日语 — JLPT N3,,,日语 JLPT N3。能够阅读基础技术资料并适应对日开发语境。
